id;url;is_restricted;is_published;jhi_order;selected_page_draft_id
1;http://morgan.name;false;false;88991;78453
2;http://chyna.com;true;true;1448;20078
3;https://althea.name;true;true;92187;61179
4;http://magnus.org;false;true;43066;86442
5;https://london.org;false;false;10447;67276
6;https://emiliano.name;false;true;15477;79533
7;http://candice.com;false;false;58993;36050
8;http://ozella.biz;true;true;6378;46865
9;https://adrianna.name;true;true;62151;25208
10;http://josiah.info;true;true;23722;410
